bvid,time,Sadness,Anger,Regret,Disgust,Joy,Expectation,Surprise,Love,Neutral
BV11BoNYrEnU,2025-04-17,2,0,0,1,0,0,2,0,1
BV11BoNYrEnU,2025-04-18,1,0,0,1,2,0,0,0,3
BV11BoNYrEnU,2025-04-19,0,0,0,0,0,1,2,0,1
BV11BoNYrEnU,2025-04-20,0,0,0,0,0,3,0,0,1
BV11BoNYrEnU,2025-04-21,0,0,0,0,1,0,0,0,1
BV11BoNYrEnU,2025-04-23,0,0,0,0,1,0,0,0,0
BV11BoNYrEnU,2025-04-26,0,0,0,0,0,0,1,0,0
BV11BoNYrEnU,2025-04-30,0,0,0,0,0,0,0,0,3
BV11BoNYrEnU,2025-05-01,0,0,0,0,0,1,0,0,0
BV11BoNYrEnU,2025-05-04,0,0,0,0,1,0,0,0,0
BV11BoNYrEnU,2025-05-05,0,0,0,0,1,0,0,0,0
BV11BoNYrEnU,2025-05-09,0,0,0,0,0,0,0,0,1
BV11BoNYrEnU,2025-05-13,0,0,0,0,0,1,0,0,0
BV11BoNYrEnU,2025-05-14,0,0,0,0,0,2,0,0,0
BV11BoNYrEnU,2025-05-28,0,0,0,0,0,1,0,0,1
BV11BoNYrEnU,2025-05-29,0,0,0,0,1,0,0,0,1
BV11BoNYrEnU,2025-06-06,0,0,0,0,0,0,0,1,0
BV11BoNYrEnU,2025-06-13,0,0,0,0,0,0,0,0,1
BV12rdWYtEXK,2025-04-21,0,1,0,1,0,0,0,0,1
BV12rdWYtEXK,2025-04-22,0,0,0,1,0,0,0,0,1
BV12rdWYtEXK,2025-04-23,0,1,1,1,0,0,0,0,0
BV12rdWYtEXK,2025-04-24,0,1,0,1,0,0,0,0,0
BV12rdWYtEXK,2025-04-25,0,0,0,0,0,0,0,0,1
BV12rdWYtEXK,2025-04-28,0,0,0,1,0,0,0,0,1
BV12rdWYtEXK,2025-04-29,0,0,1,0,0,0,0,0,0
BV12rdWYtEXK,2025-05-04,0,1,0,3,0,0,0,0,1
BV12rdWYtEXK,2025-05-10,0,0,0,0,1,0,0,0,0
BV13m5xz7EyN,2025-04-19,0,0,0,0,0,1,0,0,1
BV13m5xz7EyN,2025-04-20,0,1,1,1,0,0,0,0,1
BV13m5xz7EyN,2025-04-27,0,0,0,0,0,1,0,0,0
BV14GfNYjEK4,2025-04-03,1,1,3,6,0,3,0,0,3
BV14GfNYjEK4,2025-04-04,0,0,0,0,2,2,0,0,1
BV14GfNYjEK4,2025-04-05,0,0,1,2,0,2,0,0,0
BV1685vzSEHt,2025-04-23,0,0,2,1,1,1,0,0,3
BV1685vzSEHt,2025-04-24,0,0,0,0,1,1,0,0,5
BV1685vzSEHt,2025-04-25,0,0,0,1,0,0,0,0,1
BV1685vzSEHt,2025-04-26,0,0,0,0,0,0,0,0,4
BV1685vzSEHt,2025-04-27,0,0,0,1,0,0,0,0,1
BV1685vzSEHt,2025-04-28,1,0,0,0,0,0,0,0,0
BV1685vzSEHt,2025-04-29,0,0,0,1,0,0,0,0,0
BV1685vzSEHt,2025-05-01,0,0,0,0,0,0,0,0,1
BV1685vzSEHt,2025-05-02,0,0,0,1,0,0,0,0,0
BV1685vzSEHt,2025-05-04,0,0,0,0,0,1,0,0,1
BV1685vzSEHt,2025-05-05,0,0,0,1,0,0,0,0,0
BV1685vzSEHt,2025-05-11,0,0,0,0,0,0,0,0,1
BV1685vzSEHt,2025-05-13,0,0,0,0,0,0,0,0,1
BV1685vzSEHt,2025-05-15,0,0,0,0,0,0,0,0,1
BV1685vzSEHt,2025-05-24,0,0,0,0,0,0,0,0,1
BV173RiYCEmZ,2025-04-14,0,0,0,0,0,1,0,0,1
BV173RiYCEmZ,2025-04-15,0,0,0,2,0,0,0,0,0
BV173RiYCEmZ,2025-04-16,0,0,0,0,0,1,0,0,1
BV173RiYCEmZ,2025-04-17,0,2,0,2,0,0,0,0,0
BV173RiYCEmZ,2025-04-18,0,0,0,1,0,0,1,0,0
BV173RiYCEmZ,2025-04-19,0,0,1,0,0,0,0,0,2
BV173RiYCEmZ,2025-04-20,0,0,0,1,0,0,0,0,0
BV173RiYCEmZ,2025-04-21,0,0,0,1,0,0,0,0,0
BV173RiYCEmZ,2025-04-22,0,0,0,0,0,0,0,0,1
BV173RiYCEmZ,2025-05-22,0,0,0,1,0,0,0,0,0
BV173RiYCEmZ,2025-06-03,0,0,0,1,0,0,0,0,0
BV19moMYwEXU,2025-04-17,0,0,1,2,0,0,0,0,3
BV19moMYwEXU,2025-04-18,0,1,0,0,2,0,0,0,1
BV19moMYwEXU,2025-04-19,0,0,0,0,1,0,0,0,1
BV19moMYwEXU,2025-04-20,0,0,0,0,0,0,1,0,1
BV19moMYwEXU,2025-04-21,0,0,0,0,0,1,0,0,0
BV19moMYwEXU,2025-04-22,0,0,0,0,1,0,0,0,0
BV19moMYwEXU,2025-04-24,0,0,0,1,0,1,0,0,1
BV19moMYwEXU,2025-04-30,0,0,0,0,0,0,1,0,0
BV19moMYwEXU,2025-05-01,0,0,0,0,0,0,0,0,1
BV19moMYwEXU,2025-05-02,0,0,0,0,0,0,0,0,1
BV19moMYwEXU,2025-05-05,0,0,0,0,0,0,0,0,1
BV1CR5kz2Etc,2025-04-18,0,1,0,0,5,1,1,0,8
BV1CR5kz2Etc,2025-04-19,0,0,0,0,2,0,0,0,0
BV1Dt5sz3EaP,2025-04-27,0,0,0,0,0,1,1,0,0
BV1Dt5sz3EaP,2025-05-09,2,0,0,3,1,0,0,0,2
BV1Dt5sz3EaP,2025-05-16,0,0,0,0,0,0,0,0,1
BV1Dt5sz3EaP,2025-05-21,0,0,0,0,0,1,0,0,0
BV1Dt5sz3EaP,2025-05-27,0,0,0,0,0,0,0,0,1
BV1Dt5sz3EaP,2025-05-28,0,1,0,0,0,0,0,0,0
BV1Dt5sz3EaP,2025-05-30,0,0,0,0,1,0,0,0,2
BV1Dt5sz3EaP,2025-06-01,0,0,0,0,1,0,0,0,0
BV1Dt5sz3EaP,2025-06-05,0,0,0,0,1,0,0,0,0
BV1Dt5sz3EaP,2025-06-07,0,0,0,0,0,0,0,0,1
BV1Dt5sz3EaP,2025-06-08,0,0,0,0,0,0,1,0,0
BV1ExfAYfEBX,2025-04-04,0,0,1,0,0,1,0,0,1
BV1ExfAYfEBX,2025-04-05,0,0,1,2,0,3,0,0,2
BV1ExfAYfEBX,2025-04-06,0,0,0,0,0,1,0,0,1
BV1ExfAYfEBX,2025-04-07,0,0,1,1,1,0,0,0,0
BV1ExfAYfEBX,2025-04-08,0,1,0,0,0,0,0,0,0
BV1ExfAYfEBX,2025-04-09,0,0,0,0,0,0,0,0,1
BV1ExfAYfEBX,2025-04-10,0,0,0,1,0,0,0,0,0
BV1ExfAYfEBX,2025-04-11,0,1,0,0,0,2,0,0,2
BV1ExfAYfEBX,2025-04-13,0,0,0,1,0,0,0,0,0
BV1ExfAYfEBX,2025-04-16,0,0,0,0,0,1,0,0,0
BV1ExfAYfEBX,2025-04-17,0,0,1,0,0,0,0,0,0
BV1ExfAYfEBX,2025-04-21,0,0,0,0,0,0,0,0,1
BV1ExfAYfEBX,2025-04-23,0,0,0,1,0,0,0,0,0
BV1GXdpYwEKD,2025-04-08,0,0,0,2,0,2,2,0,2
BV1GXdpYwEKD,2025-04-09,0,0,0,1,0,3,1,0,3
BV1HTojYaEQe,2025-04-14,0,0,1,6,1,6,0,0,7
BV1HU54zvEd4,2025-04-19,1,1,2,1,2,0,1,0,6
BV1HU54zvEd4,2025-04-20,0,1,1,2,1,0,1,0,4
BV1HU54zvEd4,2025-04-21,0,0,0,0,1,0,0,0,1
BV1Ju5ezLEtb,2025-04-17,0,0,1,0,1,1,1,0,2
BV1Ju5ezLEtb,2025-04-18,1,0,1,6,0,1,1,0,2
BV1Ju5ezLEtb,2025-04-19,0,0,0,2,1,0,0,0,1
BV1Ju5ezLEtb,2025-04-20,0,0,0,1,1,1,0,0,3
BV1Ju5ezLEtb,2025-04-21,0,0,0,1,0,0,0,0,0
BV1Ju5ezLEtb,2025-04-27,0,0,0,0,0,0,0,0,1
BV1KSd5YwEJe,2025-04-12,0,0,0,0,1,1,0,0,0
BV1KSd5YwEJe,2025-04-17,0,0,0,0,0,1,0,0,0
BV1KSd5YwEJe,2025-04-18,0,0,0,0,1,0,0,0,2
BV1KSd5YwEJe,2025-04-25,0,0,0,0,0,0,1,0,0
BV1MbdKYCEiE,2025-04-09,0,0,1,0,1,0,0,0,0
BV1MbdKYCEiE,2025-04-10,0,0,1,1,0,6,0,0,0
BV1MbdKYCEiE,2025-04-11,0,0,1,0,0,2,0,0,0
BV1MbdKYCEiE,2025-04-16,0,0,0,0,0,1,0,0,0
