序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,259922991809,594795656,朱圆掌ア,5,保密,[doge],2025-04-20 02:15:06,1,0,,未知,是,https://i2.hdslb.com/bfs/face/4ea89c1bcf3b917c23441a1387d5f72109b23a1d.jpg,Neutral
2,0,259923053425,594795656,朱圆掌ア,5,保密,加一,2025-04-20 02:14:46,0,0,,未知,是,https://i2.hdslb.com/bfs/face/4ea89c1bcf3b917c23441a1387d5f72109b23a1d.jpg,Neutral
3,0,260819235440,3546382281476646,逸韵Sunog,5,男,666无名的脑机坏了,2025-04-20 01:56:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b92aa9411e3aef605dabb281d2f75da9a654f9a6.jpg,Disgust
4,259922991809,259923071825,594795656,朱圆掌ア,5,保密,新赛季后优化很差。。,2025-04-20 02:15:34,0,0,,未知,是,https://i2.hdslb.com/bfs/face/4ea89c1bcf3b917c23441a1387d5f72109b23a1d.jpg,Sadness
