bvid,time,Sadness,Anger,Regret,Disgust,Joy,Expectation,Surprise,Love,Neutral
BV11BoNYrEnU,2025-04-17,10,0,0,4,1,0,10,0,5
BV11BoNYrEnU,2025-04-18,5,0,0,5,10,0,0,0,15
BV11BoNYrEnU,2025-04-19,0,0,0,0,1,5,9,0,5
BV11BoNYrEnU,2025-04-20,0,0,0,0,0,15,0,0,5
BV11BoNYrEnU,2025-04-21,0,0,0,0,5,0,0,0,5
BV11BoNYrEnU,2025-04-23,0,0,0,0,5,0,0,0,0
BV11BoNYrEnU,2025-04-26,0,0,0,0,0,0,5,0,0
BV11BoNYrEnU,2025-04-30,0,0,0,0,0,0,0,0,15
BV11BoNYrEnU,2025-05-01,0,0,0,0,0,5,0,0,0
BV11BoNYrEnU,2025-05-04,0,0,0,0,5,0,0,0,0
BV11BoNYrEnU,2025-05-05,0,0,0,0,5,0,0,0,0
BV11BoNYrEnU,2025-05-09,0,0,0,0,0,0,0,0,5
BV11BoNYrEnU,2025-05-13,0,0,0,0,0,5,0,0,0
BV11BoNYrEnU,2025-05-14,0,0,0,0,0,6,0,0,4
BV11BoNYrEnU,2025-05-28,0,0,0,0,0,5,0,0,5
BV11BoNYrEnU,2025-05-29,0,0,0,0,4,0,0,0,6
BV11BoNYrEnU,2025-06-06,0,0,0,0,0,0,0,4,1
BV11BoNYrEnU,2025-06-13,0,0,0,0,0,0,0,0,5
BV11j5vzbEcF,2025-04-18,0,0,0,10,1,0,4,0,5
BV11pVgzsEkb,2025-05-02,0,0,0,0,0,5,0,0,0
BV11pVgzsEkb,2025-05-10,0,0,0,0,0,0,0,0,5
BV12JL3zAETd,2025-04-24,0,0,0,0,5,0,0,0,0
BV12JL3zAETd,2025-04-25,0,0,0,0,0,0,0,0,5
BV12JL3zAETd,2025-04-26,0,0,0,0,0,0,0,0,5
BV12JL3zAETd,2025-04-27,0,0,0,0,0,0,0,0,5
BV12JL3zAETd,2025-04-28,0,0,0,0,0,0,0,0,5
BV12JL3zAETd,2025-05-04,0,0,0,0,0,5,0,0,0
BV12JL3zAETd,2025-05-06,0,0,0,5,0,0,0,0,0
BV12cdgYEEwv,2025-04-13,0,0,0,0,0,0,0,0,10
BV12fLuzZERr,2025-04-21,0,0,0,0,3,2,0,0,5
BV12fLuzZERr,2025-04-22,0,0,0,0,0,0,0,0,5
BV12fLuzZERr,2025-04-23,0,0,0,0,0,0,0,0,5
BV12nL3zaEaE,2025-06-08,0,0,0,0,0,0,0,0,5
BV12rdWYtEXK,2025-04-21,0,5,0,5,0,0,0,0,5
BV12rdWYtEXK,2025-04-22,0,0,0,5,0,0,0,0,5
BV12rdWYtEXK,2025-04-23,0,5,4,6,0,0,0,0,0
BV12rdWYtEXK,2025-04-24,0,5,0,5,0,0,0,0,0
BV12rdWYtEXK,2025-04-25,0,0,0,0,0,0,0,0,5
BV12rdWYtEXK,2025-04-28,0,0,0,5,0,0,0,0,5
BV12rdWYtEXK,2025-04-29,0,0,5,0,0,0,0,0,0
BV12rdWYtEXK,2025-05-04,0,5,0,14,1,0,0,0,5
BV12rdWYtEXK,2025-05-10,0,0,0,0,5,0,0,0,0
BV13A5YzhEUJ,2025-04-20,0,0,0,0,0,0,0,0,10
BV13A5YzhEUJ,2025-04-21,0,0,0,0,0,0,5,0,15
BV13A5YzhEUJ,2025-04-23,0,0,0,0,0,0,0,0,5
BV13A5YzhEUJ,2025-04-24,0,0,0,0,0,0,0,0,5
BV13A5YzhEUJ,2025-04-26,0,0,0,0,0,5,0,0,5
BV13A5YzhEUJ,2025-05-05,0,0,0,0,0,5,0,0,0
BV13A5YzhEUJ,2025-05-06,0,0,0,0,0,0,0,0,5
BV13m5xz7EyN,2025-04-19,0,0,0,0,0,2,0,0,8
BV13m5xz7EyN,2025-04-20,0,2,4,6,3,0,0,0,5
BV13m5xz7EyN,2025-04-27,0,0,0,0,0,5,0,0,0
BV14GfNYjEK4,2025-04-03,5,8,15,27,0,15,0,0,15
BV14GfNYjEK4,2025-04-04,0,0,0,0,10,10,0,0,5
BV14GfNYjEK4,2025-04-05,0,0,5,10,0,10,0,0,0
BV14Q5YzoEZZ,2025-04-19,0,0,0,0,0,0,0,0,5
BV14RLTzXE36,2025-04-21,0,0,0,0,2,0,0,0,8
BV153dBYLEtU,2025-04-13,0,0,0,0,0,0,0,0,5
BV15L5azYEEa,2025-04-17,0,0,0,0,5,0,0,0,10
BV15L5azYEEa,2025-05-02,0,0,0,0,0,0,5,0,0
BV15eRdY8Eon,2025-04-06,0,0,0,0,0,5,0,0,5
BV15zLEzYEE9,2025-04-25,0,0,0,0,0,0,0,0,5
BV1685vzSEHt,2025-04-23,0,0,4,7,5,5,0,0,19
BV1685vzSEHt,2025-04-24,0,0,0,3,5,8,0,0,19
BV1685vzSEHt,2025-04-25,0,0,0,5,0,0,0,0,5
BV1685vzSEHt,2025-04-26,0,0,0,0,0,0,0,0,20
BV1685vzSEHt,2025-04-27,0,0,0,5,0,0,0,0,5
BV1685vzSEHt,2025-04-28,5,0,0,0,0,0,0,0,0
BV1685vzSEHt,2025-04-29,0,0,0,5,0,0,0,0,0
BV1685vzSEHt,2025-05-01,0,0,0,0,0,0,0,0,5
BV1685vzSEHt,2025-05-02,0,0,0,5,0,0,0,0,0
BV1685vzSEHt,2025-05-04,0,0,0,0,0,5,0,0,5
BV1685vzSEHt,2025-05-05,0,0,0,5,0,0,0,0,0
BV1685vzSEHt,2025-05-11,0,0,0,0,0,0,0,0,5
BV1685vzSEHt,2025-05-13,0,0,0,0,0,0,0,0,5
BV1685vzSEHt,2025-05-15,0,0,0,0,0,0,0,0,5
BV1685vzSEHt,2025-05-24,0,0,0,0,0,0,0,0,5
BV16n5hzgE95,2025-04-16,0,0,0,5,0,0,0,0,5
BV16n5hzgE95,2025-04-17,0,0,0,5,0,0,0,0,0
BV173RiYCEmZ,2025-04-14,0,0,0,0,0,5,0,0,5
BV173RiYCEmZ,2025-04-15,0,0,0,10,0,0,0,0,0
BV173RiYCEmZ,2025-04-16,0,0,0,0,0,4,0,0,6
BV173RiYCEmZ,2025-04-17,0,9,0,11,0,0,0,0,0
BV173RiYCEmZ,2025-04-18,0,1,0,4,1,0,4,0,0
BV173RiYCEmZ,2025-04-19,0,0,4,1,0,0,0,0,10
BV173RiYCEmZ,2025-04-20,0,0,0,5,0,0,0,0,0
BV173RiYCEmZ,2025-04-21,0,0,0,5,0,0,0,0,0
BV173RiYCEmZ,2025-04-22,0,0,0,0,0,0,0,0,5
BV173RiYCEmZ,2025-05-22,0,0,0,5,0,0,0,0,0
BV173RiYCEmZ,2025-06-03,0,0,0,5,0,0,0,0,0
BV17n56zwEyP,2025-04-18,0,0,0,0,0,5,0,0,0
BV17n56zwEyP,2025-04-19,0,0,0,0,0,0,0,0,5
BV181LEzbEZ5,2025-04-26,0,0,0,0,10,0,0,0,0
BV181LEzbEZ5,2025-05-15,0,0,0,0,0,0,0,0,5
BV18R5qz3ESh,2025-04-17,0,0,0,5,5,0,0,0,0
BV18Yw6e8Ei2,2025-01-19,0,0,0,0,0,0,0,0,5
BV18Yw6e8Ei2,2025-01-20,0,0,0,0,10,0,0,0,5
BV18j5jz2EpA,2025-04-18,0,0,0,0,0,0,0,0,5
BV18j5jz2EpA,2025-04-19,0,0,0,0,0,0,0,0,10
BV18zLqzLESg,2025-04-28,0,0,0,0,0,0,0,0,5
BV19moMYwEXU,2025-04-17,1,0,5,10,0,0,0,0,14
BV19moMYwEXU,2025-04-18,0,5,0,2,8,0,0,0,5
BV19moMYwEXU,2025-04-19,0,0,0,0,5,0,0,0,5
BV19moMYwEXU,2025-04-20,0,0,0,0,0,0,5,0,5
BV19moMYwEXU,2025-04-21,0,0,0,0,0,5,0,0,0
BV19moMYwEXU,2025-04-22,0,0,0,0,5,0,0,0,0
BV19moMYwEXU,2025-04-24,0,3,0,2,0,5,0,0,5
BV19moMYwEXU,2025-04-30,0,0,0,0,0,0,5,0,0
BV19moMYwEXU,2025-05-01,0,0,0,0,0,0,0,0,5
BV19moMYwEXU,2025-05-02,0,0,0,0,0,0,0,0,5
BV19moMYwEXU,2025-05-05,0,0,0,0,0,0,0,0,5
BV19y5xzEEU2,2025-04-19,0,5,0,0,0,0,0,0,0
BV1ACVrzGERV,2025-05-06,0,0,0,0,0,0,0,0,10
BV1ACVrzGERV,2025-05-07,0,0,0,0,0,0,0,0,5
BV1Aj5Jz5EP9,2025-04-19,0,0,0,0,0,0,0,0,10
BV1BkdLYRE4H,2025-04-11,0,0,0,0,0,0,0,0,5
BV1BkdLYRE4H,2025-04-12,0,0,0,0,0,5,0,0,0
BV1BkdLYRE4H,2025-04-17,0,0,0,0,5,0,0,0,0
BV1BkdLYRE4H,2025-04-20,0,0,0,0,0,0,5,0,5
BV1BkdLYRE4H,2025-04-21,0,0,0,0,0,0,0,0,5
BV1BkdLYRE4H,2025-04-22,0,0,0,0,0,15,0,0,0
BV1BkdLYRE4H,2025-04-23,0,0,0,0,0,0,0,0,5
BV1BkdLYRE4H,2025-04-24,0,0,0,0,0,0,0,0,10
BV1BkdLYRE4H,2025-05-07,0,0,0,0,0,0,0,0,5
BV1BkdLYRE4H,2025-05-12,0,0,0,0,5,0,0,0,0
BV1BkdLYRE4H,2025-05-22,0,0,0,0,1,0,0,0,4
BV1BkdLYRE4H,2025-05-31,0,0,0,5,0,0,0,0,0
BV1BkdLYRE4H,2025-06-05,0,0,0,0,0,0,0,0,5
BV1BkdLYRE4H,2025-06-12,0,0,0,0,0,0,0,0,5
BV1BkdLYRE4H,2025-06-22,0,0,0,0,0,5,0,0,0
BV1Bs5hzqESB,2025-04-17,0,0,0,0,0,5,0,0,0
BV1Bs5hzqESB,2025-04-25,0,0,0,0,0,5,0,0,0
BV1C3ouY1Eae,2025-04-17,0,0,0,0,5,0,0,0,15
BV1C3ouY1Eae,2025-04-18,0,0,0,0,5,0,0,0,0
BV1C3ouY1Eae,2025-04-19,0,0,0,0,2,0,0,0,3
