序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260007608289,1953633887,有段时间没导了,4,男,黑屏模式,2025-04-21 02:52:01,0,0,"
呃呃
",未知,否,https://i2.hdslb.com/bfs/face/688eda5addfbc7157868b94c781424ab82484dd4.jpg,Neutral
2,0,260007608289,1953633887,有段时间没导了,4,男,黑屏模式,2025-04-21 02:52:01,0,0,"
呃呃
",未知,否,https://i2.hdslb.com/bfs/face/688eda5addfbc7157868b94c781424ab82484dd4.jpg,Neutral
3,0,260007608289,1953633887,有段时间没导了,4,男,黑屏模式,2025-04-21 02:52:01,0,0,"
呃呃
",未知,否,https://i2.hdslb.com/bfs/face/688eda5addfbc7157868b94c781424ab82484dd4.jpg,Neutral
4,0,260007608289,1953633887,有段时间没导了,4,男,黑屏模式,2025-04-21 02:52:01,0,0,"
呃呃
",未知,否,https://i2.hdslb.com/bfs/face/688eda5addfbc7157868b94c781424ab82484dd4.jpg,Neutral
5,0,260007608289,1953633887,有段时间没导了,4,男,黑屏模式,2025-04-21 02:52:01,0,0,"
呃呃
",未知,否,https://i2.hdslb.com/bfs/face/688eda5addfbc7157868b94c781424ab82484dd4.jpg,Neutral
